City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
184,Cedar City,US,2021-01-20 19:59:06,37.6775,-113.0619,39.2,48,1,3.29
185,Baft,IR,2021-01-20 20:01:53,29.234,56.6057,42.4,55,0,5.19
186,Ancud,CL,2021-01-20 20:01:53,-41.8697,-73.8203,67.84,65,100,8.39
187,Victoria,HK,2021-01-20 20:00:02,22.2855,114.1577,64.99,81,100,11.34
188,Ilulissat,GL,2021-01-20 20:01:54,69.2167,-51.1,26.6,63,75,3.44
189,Oistins,BB,2021-01-20 20:01:54,13.0667,-59.5333,78.8,73,40,17.27
190,Tenno,JP,2021-01-20 20:01:54,39.9,139.9667,41.0,76,100,18.48
191,Khilok,RU,2021-01-20 20:01:54,51.3674,110.4676,-2.49,89,17,4.36
192,Omboue,GA,2021-01-20 20:01:54,-1.5746,9.2618,78.01,85,100,4.12
193,Emba,KZ,2021-01-20 20:01:54,48.8264,58.1442,-0.74,93,100,4.16
194,Coihaique,CL,2021-01-20 20:01:54,-45.5752,-72.0662,71.6,53,75,6.91
195,Bathsheba,BB,2021-01-20 20:01:55,13.2167,-59.5167,78.8,73,40,17.27
196,Biltine,TD,2021-01-20 20:01:55,14.5333,20.9167,62.15,27,0,13.22
197,Yumen,CN,2021-01-20 20:01:55,40.2833,97.2,19.06,78,62,20.33
198,Klaksvik,FO,2021-01-20 20:01:55,62.2266,-6.589,37.4,75,20,28.77
199,Qurayyat,SA,2021-01-20 20:01:55,31.3318,37.3428,41.0,87,0,11.5
200,Maceio,BR,2021-01-20 20:01:55,-9.6658,-35.7353,82.4,69,40,14.97
201,Sitka,US,2021-01-20 20:01:55,57.0531,-135.33,35.6,93,90,4.61
202,Pemberton,CA,2021-01-20 20:01:55,50.3164,-122.8027,39.99,93,90,1.32
203,Portland,US,2021-01-20 20:00:01,45.5234,-122.6762,45.0,71,100,1.01
204,Navirai,BR,2021-01-20 20:01:08,-23.065,-54.1906,75.76,88,100,1.25
205,Syasstroy,RU,2021-01-20 20:01:56,60.1367,32.5691,9.45,95,72,7.11
206,Cabo San Lucas,MX,2021-01-20 19:59:24,22.8909,-109.9124,70.0,83,90,5.75
207,Makakilo City,US,2021-01-20 20:01:56,21.3469,-158.0858,75.2,73,75,3.44
208,Tuatapere,NZ,2021-01-20 20:01:56,-46.1333,167.6833,53.01,85,92,11.01
209,Northam,GB,2021-01-20 20:01:56,51.0333,-4.2167,39.99,94,100,10.0
210,Dikson,RU,2021-01-20 20:01:56,73.5069,80.5464,-7.73,92,100,6.69
211,Robore,BO,2021-01-20 20:01:56,-18.3333,-59.75,78.8,83,90,6.91
212,Cabedelo,BR,2021-01-20 20:00:16,-6.9811,-34.8339,82.4,74,75,12.66
213,Leh,IN,2021-01-20 20:01:57,34.1667,77.5833,6.85,60,0,2.3
214,Havoysund,NO,2021-01-20 20:01:57,70.9963,24.6622,15.8,73,0,5.75
215,Taranagar,IN,2021-01-20 20:01:57,28.6709,75.0351,61.02,32,0,5.3
216,Saint George,US,2021-01-20 20:01:57,37.1041,-113.5841,57.99,38,1,8.05
217,Otjimbingwe,NA,2021-01-20 20:01:57,-22.35,16.1333,74.46,48,69,11.56
218,Lamu,KE,2021-01-20 20:01:57,-2.2717,40.902,78.8,83,1,6.91
219,Ahipara,NZ,2021-01-20 20:01:57,-35.1667,173.1667,62.19,61,7,11.43
220,Khatanga,RU,2021-01-20 20:01:57,71.9667,102.5,-27.76,86,100,7.11
221,Vila Velha,BR,2021-01-20 20:00:23,-20.3297,-40.2925,86.0,58,40,13.8
222,Meulaboh,ID,2021-01-20 20:01:58,4.1363,96.1285,76.1,89,99,4.18
223,Sotouboua,TG,2021-01-20 20:01:58,8.5667,0.9833,79.41,18,0,2.59
224,Tougue,GN,2021-01-20 20:01:58,11.4667,-11.6,70.84,21,1,1.92
225,Nan,TH,2021-01-20 20:01:58,18.8333,100.6667,59.54,75,0,0.69
226,Svetlyy,RU,2021-01-20 20:01:58,54.675,20.1347,37.4,93,90,8.95
227,Candolim,IN,2021-01-20 20:01:58,15.5181,73.7626,77.0,83,0,2.3
228,Huarmey,PE,2021-01-20 20:01:58,-10.0681,-78.1522,76.84,65,41,11.79
229,Lasa,IT,2021-01-20 20:01:59,46.6166,10.7002,32.0,73,20,5.75
230,Torbay,CA,2021-01-20 20:01:59,47.6666,-52.7314,28.0,74,75,27.63
231,Quzhou,CN,2021-01-20 20:01:59,28.9594,118.8686,49.17,86,0,2.21
232,Olafsvik,IS,2021-01-20 20:01:59,64.8945,-23.7142,26.55,91,96,33.51
233,Bam,IR,2021-01-20 20:01:59,29.106,58.357,57.45,32,8,9.13
234,Flinders,AU,2021-01-20 20:01:59,-34.5833,150.8552,57.0,84,19,1.01
235,Geraldton,AU,2021-01-20 20:01:59,-28.7667,114.6,75.2,78,90,11.5
236,Fare,PF,2021-01-20 20:01:59,-16.7,-151.0167,80.6,77,0,15.35
237,Hambantota,LK,2021-01-20 20:02:00,6.1241,81.1185,77.25,87,2,8.59
238,Clyde River,CA,2021-01-20 20:02:00,70.4692,-68.5914,6.8,92,75,6.91
239,Ekhabi,RU,2021-01-20 20:02:00,53.5102,142.9671,-15.47,80,0,4.03
240,Vera Cruz,BR,2021-01-20 20:02:00,-12.6333,-41.0333,81.14,53,50,9.44
241,Launceston,AU,2021-01-20 20:02:00,-41.45,147.1667,48.0,93,4,0.69
242,Guerrero Negro,MX,2021-01-20 20:02:00,27.9769,-114.0611,73.85,48,76,25.14
243,Puerto Del Rosario,ES,2021-01-20 20:02:00,28.5004,-13.8627,62.6,72,20,7.29
244,Mayor Pablo Lagerenza,PY,2021-01-20 20:02:00,-19.9309,-60.7718,81.34,48,86,5.46
245,Camacha,PT,2021-01-20 20:02:01,33.0833,-16.3333,62.6,82,40,10.36
246,Volchikha,RU,2021-01-20 20:02:01,52.0333,80.3833,19.22,97,100,8.79
247,Rocha,UY,2021-01-20 20:00:08,-34.4833,-54.3333,79.36,48,0,12.44
248,San Patricio,US,2021-01-20 20:02:01,28.017,-97.5169,69.8,83,90,5.75
249,Nome,US,2021-01-20 20:02:01,64.5011,-165.4064,10.4,61,90,14.97
250,Fukue,JP,2021-01-20 20:02:01,32.6881,128.8419,57.27,75,87,14.79
