City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
180,Padang,ID,77.0,overcast clouds,-0.9492,100.3543,Mercure Padang
186,Bambanglipuro,ID,77.79,overcast clouds,-7.95,110.2833,Puri Brata
187,Goure,NE,73.0,scattered clouds,13.9835,10.2704,
190,Gao,ML,74.1,scattered clouds,16.6362,1.6369999999999998,
200,Geraldton,AU,71.6,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
201,Naze,JP,62.74,scattered clouds,28.3667,129.4833,奄美ポートタワーホテル
203,Sambava,MG,79.07,light rain,-14.2667,50.1667,Melrose
204,East London,ZA,71.6,light rain,-33.0153,27.9116,Tu Casa
206,Bengkulu,ID,77.32,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
212,Calama,CL,69.8,broken clouds,-22.4667,-68.9333,Park Hotel Calama
213,Antalaha,MG,77.54,light rain,-14.9003,50.2788,Hotel Vitasoa
214,Nedjo,ET,62.92,broken clouds,9.5046,35.5019,Yerosan Hotel
215,Alofi,NU,73.4,light rain,-19.0595,-169.9187,Taloa Heights
216,Touros,BR,84.2,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
218,Makokou,GA,74.75,overcast clouds,0.5738,12.8642,WAMY RESIDENCE HOTEL
219,Chimbote,PE,77.52,few clouds,-9.0853,-78.5783,Hotel Briliá
221,Atuona,PF,77.94,clear sky,-9.8,-139.0333,Villa Enata
225,Antsohihy,MG,77.4,light rain,-14.8796,47.9875,Hotel de Ville
226,Isangel,VU,77.36,light rain,-19.55,169.2667,Volcano Sea View Tree House
227,San Pedro,PH,79.0,few clouds,14.35,121.0167,OYO 412 Viewfort Venue
229,Kahului,US,73.4,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
230,Cobija,BO,77.5,light rain,-11.0267,-68.7692,Hotel Obelisco
231,Qui Nhon,VN,68.52,few clouds,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
236,Rabo De Peixe,PT,64.0,scattered clouds,37.8,-25.5833,Quinta das Giestas
238,Catuday,PH,76.8,overcast clouds,16.2923,119.8062,GResort
242,Russell,US,62.01,clear sky,32.3502,-85.1999,Macs
243,Mayumba,GA,77.29,overcast clouds,-3.432,10.6554,LIKWALE LODGE
244,Ulundi,ZA,77.63,clear sky,-28.3352,31.4162,Ekhethelo Lodge
245,Abha,SA,60.8,clear sky,18.2164,42.5053,Abha Hotel
247,Palomares,MX,80.55,broken clouds,17.15,-95.0667,Hotel Monarca
249,Iquique,CL,73.4,clear sky,-20.2208,-70.1431,Backpacker`s Hostel Iquique
251,Ponta Do Sol,PT,61.0,overcast clouds,32.6667,-17.1,Hotel do Campo
254,Bundaberg,AU,72.0,scattered clouds,-24.85,152.35,Takalvan Motel
255,Loreto,MX,70.72,broken clouds,22.2667,-101.9667,José de Jesús Velásquez mora
256,Pointe Michel,DM,84.2,few clouds,15.25,-61.3833,Castle Comfort Lodge Dive Dominica
258,Avarua,CK,82.4,scattered clouds,-21.2078,-159.775,Paradise Inn
263,Tosagua,EC,82.4,moderate rain,-0.7833,-80.25,Paseo de los ceibos la pila
264,Elat,IL,60.8,clear sky,29.5581,34.9482,Club Hotel Eilat
265,Faya,SA,60.8,clear sky,18.3851,42.4509,مقبرة ال مجمل
272,Viru,PE,73.4,few clouds,-8.4167,-78.75,AYAR PORTENTOS DE MONTAÑA
276,Sao Filipe,CV,76.8,overcast clouds,14.8961,-24.4956,Tortuga B&B
277,Kasongo-Lunda,CD,72.66,overcast clouds,-6.4667,16.8167,
279,Juazeiro,BR,78.8,moderate rain,-9.4117,-40.4986,JB Hotel
280,Punta Gorda,US,77.0,scattered clouds,26.9298,-82.0454,Four Points by Sheraton Punta Gorda Harborside
281,Piacabucu,BR,82.44,light rain,-10.4056,-36.4344,Piaçabuçu News
282,Tezu,IN,62.96,broken clouds,27.9167,96.1667,Circuit House
283,Isla Mujeres,MX,84.2,scattered clouds,21.2311,-86.73100000000001,Hotel La Joya Isla Mujeres
284,Taoudenni,ML,73.31,clear sky,22.6783,-3.9836,
287,Sinnar,SD,82.17,few clouds,13.5691,33.5672,هجو الطاهر
289,Tiznit,MA,61.84,scattered clouds,29.5833,-9.5,
290,Muncar,ID,77.68,overcast clouds,-8.4333,114.3333,Zaky Homestay
291,Fougamou,GA,76.19,light rain,-1.2154,10.5838,Résidence d'Hôtes Bapedy
294,Mahebourg,MU,80.6,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
297,Uvira,CD,75.65,light rain,-3.4067,29.1458,Hotel Suzana
300,Mackay,AU,77.0,scattered clouds,-21.15,149.2,International Lodge Motel
301,Axim,GH,80.69,broken clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
