City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
201,Naze,JP,28.3667,129.4833,62.74,85,40,10.09,scattered clouds
202,Naryan-Mar,RU,67.6713,53.087,-20.56,86,75,10.4,broken clouds
203,Sambava,MG,-14.2667,50.1667,79.07,85,34,6.71,light rain
204,East London,ZA,-33.0153,27.9116,71.6,88,75,21.85,light rain
205,Troitsko-Pechorsk,RU,62.7084,56.1964,-13.94,86,91,6.22,overcast clouds
206,Bengkulu,ID,-3.8004,102.2655,77.32,83,100,5.75,overcast clouds
207,Prince Albert,CA,53.2001,-105.7677,-7.6,77,75,9.22,broken clouds
208,Hovd,MN,48.0056,91.6419,9.79,83,100,0.25,overcast clouds
209,Sayat,TM,38.7839,63.8803,28.4,80,0,9.22,clear sky
210,Mortka,RU,59.3322,66.0214,-35.5,83,0,1.86,clear sky
211,Okhotsk,RU,59.3833,143.3,-15.23,81,100,8.75,overcast clouds
212,Calama,CL,-22.4667,-68.9333,69.8,24,75,18.41,broken clouds
213,Antalaha,MG,-14.9003,50.2788,77.54,88,2,5.28,light rain
214,Nedjo,ET,9.5046,35.5019,62.92,70,82,5.08,broken clouds
215,Alofi,NU,-19.0595,-169.9187,73.4,100,90,12.1,light rain
216,Touros,BR,-5.1989,-35.4608,84.2,65,40,14.97,scattered clouds
217,Turayf,SA,31.6725,38.6637,44.6,45,0,10.36,clear sky
218,Makokou,GA,0.5738,12.8642,74.75,80,96,3.67,overcast clouds
219,Chimbote,PE,-9.0853,-78.5783,77.52,61,17,10.51,few clouds
220,Atasu,KZ,48.6814,71.6433,-5.35,92,68,4.41,broken clouds
221,Atuona,PF,-9.8,-139.0333,77.94,79,3,15.99,clear sky
222,Muros,ES,42.7762,-9.0603,57.0,79,100,7.0,overcast clouds
223,Pochutla,MX,15.7432,-96.4661,87.01,54,75,6.96,broken clouds
224,Uusikaupunki,FI,60.8004,21.4084,35.6,87,0,5.75,clear sky
225,Antsohihy,MG,-14.8796,47.9875,77.4,91,74,3.47,light rain
226,Isangel,VU,-19.55,169.2667,77.36,87,100,7.11,light rain
227,San Pedro,PH,14.35,121.0167,79.0,89,20,1.14,few clouds
228,Lahan,NP,26.7296,86.4951,59.4,63,90,2.06,overcast clouds
229,Kahului,US,20.8947,-156.47,73.4,68,40,21.85,scattered clouds
230,Cobija,BO,-11.0267,-68.7692,77.5,89,94,2.15,light rain
231,Qui Nhon,VN,13.7667,109.2333,68.52,88,24,5.35,few clouds
232,Picos,BR,-7.0769,-41.4669,87.82,44,100,7.87,light rain
233,Saint George,US,37.1041,-113.5841,48.0,57,1,9.22,clear sky
234,Saquarema,BR,-22.92,-42.5103,89.6,69,0,18.41,clear sky
235,Anadyr,RU,64.75,177.4833,-18.0,76,0,11.18,clear sky
236,Rabo De Peixe,PT,37.8,-25.5833,64.0,88,40,10.36,scattered clouds
237,Verkhniy Avzyan,RU,53.5289,57.5372,-0.04,91,100,3.11,snow
238,Catuday,PH,16.2923,119.8062,76.8,90,91,10.89,overcast clouds
239,Rochegda,RU,62.8,43.25,8.26,95,100,11.77,snow
240,San Quintin,MX,30.4833,-115.95,57.69,70,92,8.48,overcast clouds
241,Talaya,RU,61.3833,152.75,-30.89,81,100,2.62,overcast clouds
242,Russell,US,32.3502,-85.1999,62.01,27,1,4.7,clear sky
243,Mayumba,GA,-3.432,10.6554,77.29,86,100,2.55,overcast clouds
244,Ulundi,ZA,-28.3352,31.4162,77.63,65,0,5.88,clear sky
245,Abha,SA,18.2164,42.5053,60.8,72,1,1.32,clear sky
246,Korla,CN,41.7597,86.1469,27.59,87,100,5.32,overcast clouds
247,Palomares,MX,17.15,-95.0667,80.55,74,63,6.73,broken clouds
248,Winslow,US,35.0242,-110.6974,46.4,53,90,8.05,overcast clouds
249,Iquique,CL,-20.2208,-70.1431,73.4,60,0,19.57,clear sky
250,Zhigansk,RU,66.7697,123.3711,-55.5,56,18,2.46,few clouds
251,Ponta Do Sol,PT,32.6667,-17.1,61.0,77,100,1.99,overcast clouds
252,Ust-Kulom,RU,61.6864,53.6902,-8.81,89,100,9.19,overcast clouds
253,Champerico,GT,14.3,-91.9167,86.0,62,20,6.91,few clouds
254,Bundaberg,AU,-24.85,152.35,72.0,88,40,6.91,scattered clouds
255,Loreto,MX,22.2667,-101.9667,70.72,27,66,9.64,broken clouds
256,Pointe Michel,DM,15.25,-61.3833,84.2,61,20,3.44,few clouds
257,Nouakchott,MR,18.0858,-15.9785,87.8,5,68,18.41,sand
258,Avarua,CK,-21.2078,-159.775,82.4,74,40,10.36,scattered clouds
259,Shitanjing,CN,39.2342,106.3439,28.09,74,8,5.82,clear sky
260,Marevo,RU,57.3146,32.0804,35.15,96,100,5.48,overcast clouds
261,Xining,CN,36.6167,101.7667,22.89,65,39,1.39,scattered clouds
262,Sao Joao Da Barra,BR,-21.6403,-41.0511,86.0,51,40,14.97,scattered clouds
263,Tosagua,EC,-0.7833,-80.25,82.4,69,40,9.22,moderate rain
264,Elat,IL,29.5581,34.9482,60.8,25,0,11.5,clear sky
265,Faya,SA,18.3851,42.4509,60.8,72,0,2.08,clear sky
